-0.000144	 -1.570775	 -0.000112	 -1.570752	  -0.000016	 1.570177	 -0.786374	 
-0.000144	 -1.570773	 -0.000111	 -1.570749	  -0.000017	 1.570176	 -0.786373	 
-0.000143	 -1.570771	 -0.000111	 -1.570747	  -0.000017	 1.570176	 -0.786372	 
-0.000142	 -1.570769	 -0.000110	 -1.570745	  -0.000017	 1.570176	 -0.786370	 
-0.000142	 -1.570768	 -0.000109	 -1.570744	  -0.000018	 1.570176	 -0.786369	 
-0.000141	 -1.570766	 -0.000108	 -1.570742	  -0.000019	 1.570176	 -0.786368	 
-0.000140	 -1.570764	 -0.000108	 -1.570740	  -0.000019	 1.570176	 -0.786367	 
-0.000139	 -1.570762	 -0.000107	 -1.570739	  -0.000020	 1.570176	 -0.786366	 
-0.000138	 -1.570761	 -0.000106	 -1.570738	  -0.000021	 1.570176	 -0.786365	 
-0.000137	 -1.570759	 -0.000105	 -1.570737	  -0.000022	 1.570176	 -0.786364	 
-0.000136	 -1.570758	 -0.000104	 -1.570737	  -0.000022	 1.570177	 -0.786362	 
-0.000135	 -1.570757	 -0.000103	 -1.570737	  -0.000023	 1.570177	 -0.786361	 
-0.000134	 -1.570756	 -0.000102	 -1.570736	  -0.000024	 1.570178	 -0.786360	 
-0.000133	 -1.570755	 -0.000101	 -1.570736	  -0.000026	 1.570178	 -0.786359	 
-0.000132	 -1.570753	 -0.000100	 -1.570737	  -0.000027	 1.570179	 -0.786358	 
-0.000131	 -1.570753	 -0.000099	 -1.570737	  -0.000028	 1.570180	 -0.786357	 
-0.000129	 -1.570752	 -0.000098	 -1.570738	  -0.000029	 1.570181	 -0.786356	 
-0.000128	 -1.570751	 -0.000097	 -1.570738	  -0.000030	 1.570182	 -0.786356	 
-0.000127	 -1.570750	 -0.000096	 -1.570739	  -0.000031	 1.570183	 -0.786355	 
-0.000126	 -1.570749	 -0.000095	 -1.570741	  -0.000033	 1.570185	 -0.786354	 
-0.000124	 -1.570749	 -0.000094	 -1.570742	  -0.000034	 1.570186	 -0.786353	 
-0.000123	 -1.570748	 -0.000093	 -1.570744	  -0.000035	 1.570188	 -0.786353	 
-0.000122	 -1.570748	 -0.000092	 -1.570745	  -0.000036	 1.570189	 -0.786352	 
-0.000120	 -1.570748	 -0.000091	 -1.570747	  -0.000038	 1.570191	 -0.786351	 
-0.000119	 -1.570747	 -0.000090	 -1.570750	  -0.000039	 1.570193	 -0.786351	 
-0.000118	 -1.570747	 -0.000089	 -1.570752	  -0.000040	 1.570195	 -0.786350	 
-0.000117	 -1.570747	 -0.000088	 -1.570754	  -0.000041	 1.570197	 -0.786350	 
-0.000116	 -1.570747	 -0.000088	 -1.570757	  -0.000043	 1.570199	 -0.786350	 
-0.000115	 -1.570747	 -0.000087	 -1.570760	  -0.000044	 1.570202	 -0.786349	 
-0.000114	 -1.570747	 -0.000086	 -1.570763	  -0.000045	 1.570204	 -0.786349	 
-0.000113	 -1.570747	 -0.000085	 -1.570766	  -0.000046	 1.570207	 -0.786349	 
-0.000112	 -1.570747	 -0.000084	 -1.570770	  -0.000047	 1.570209	 -0.786349	 
-0.000111	 -1.570747	 -0.000084	 -1.570773	  -0.000048	 1.570212	 -0.786349	 
-0.000110	 -1.570748	 -0.000083	 -1.570777	  -0.000049	 1.570215	 -0.786349	 
-0.000109	 -1.570748	 -0.000082	 -1.570781	  -0.000050	 1.570218	 -0.786350	 
-0.000109	 -1.570749	 -0.000082	 -1.570785	  -0.000050	 1.570221	 -0.786350	 
-0.000108	 -1.570749	 -0.000081	 -1.570790	  -0.000051	 1.570224	 -0.786350	 
-0.000108	 -1.570750	 -0.000081	 -1.570794	  -0.000052	 1.570227	 -0.786351	 
-0.000107	 -1.570750	 -0.000081	 -1.570799	  -0.000052	 1.570231	 -0.786352	 
-0.000107	 -1.570751	 -0.000080	 -1.570803	  -0.000053	 1.570234	 -0.786352	 
-0.000107	 -1.570752	 -0.000080	 -1.570808	  -0.000053	 1.570238	 -0.786351	 
-0.000107	 -1.570753	 -0.000080	 -1.570813	  -0.000053	 1.570242	 -0.786350	 
