0.00041501	-0.7644	0.00041279	0.63427	-0.015529	0.12539	0.00082094	5.7051e-06	-8.7857e-05
0.00013693	-0.78504	0.0001346	0.65112	-0.01598	0.12864	0.00086083	5.7051e-06	-8.7857e-05
0.00045674	-0.82161	0.00045427	0.68057	-0.016653	0.13418	0.00093325	5.7051e-06	-8.7857e-05
0.00085215	-0.85741	0.00084953	0.70932	-0.017298	0.13957	0.0010054	5.7051e-06	-8.7857e-05
0.0011941	-0.89275	0.0011913	0.73761	-0.017938	0.14485	0.0010814	5.7051e-06	-8.7857e-05
0.00082464	-0.91282	0.00082176	0.75366	-0.018379	0.14784	0.0011371	5.7051e-06	-8.7857e-05
0.0012575	-0.94727	0.0012545	0.78103	-0.018984	0.15288	0.0012182	5.7051e-06	-8.7857e-05
0.001702	-0.98063	0.0016988	0.80748	-0.019564	0.15773	0.0012989	5.7051e-06	-8.7857e-05
0.0020785	-1.0136	0.0020752	0.83347	-0.02014	0.16244	0.0013865	-5.9856e-05	-7.6512e-05
0.0019842	-1.0327	0.0019807	0.84826	-0.020509	0.16506	0.0014529	-5.9856e-05	-7.6512e-05
0.0023631	-1.0643	0.0023594	0.87298	-0.021054	0.16947	0.0015474	-5.9856e-05	-7.6512e-05
0.0028675	-1.0949	0.0028636	0.89667	-0.021555	0.17363	0.0016433	-5.9856e-05	-7.6512e-05
0.0034295	-1.1251	0.0034254	0.92001	-0.022038	0.17772	0.0017392	-5.9856e-05	-7.6512e-05
0.0038714	-1.1545	0.0038672	0.94243	-0.022515	0.18157	0.0018445	-5.9856e-05	-7.6512e-05
0.0036041	-1.1682	0.0035997	0.95226	-0.022783	0.18303	0.0019336	-5.9856e-05	-7.6512e-05
0.0040024	-1.1961	0.0039978	0.97329	-0.023231	0.18655	0.0020452	-5.9856e-05	-7.6512e-05
0.0045943	-1.2228	0.0045896	0.99318	-0.023623	0.18981	0.0021582	-5.9856e-05	-7.6512e-05
0.0051225	-1.249	0.0051176	1.0126	-0.024011	0.19293	0.002278	-5.9856e-05	-7.6512e-05
0.0056985	-1.2739	0.0056934	1.0308	-0.024361	0.19576	0.0023994	-5.9856e-05	-7.6512e-05
0.0056256	-1.2855	0.0056203	1.0381	-0.024535	0.1965	0.0025145	-5.9856e-05	-7.6512e-05
0.0061426	-1.3089	0.0061372	1.0547	-0.024855	0.19895	0.0026482	-5.9856e-05	-7.6512e-05
0.0068637	-1.3312	0.006858	1.0703	-0.025121	0.20118	0.0027801	-5.9856e-05	-7.6512e-05
0.0075248	-1.3529	0.0075189	1.0853	-0.025377	0.20321	0.0029201	-5.9856e-05	-7.6512e-05
0.0081767	-1.3735	0.0081706	1.0993	-0.025611	0.20504	0.003063	-5.9856e-05	-7.6512e-05
0.008989	-1.3929	0.0089827	1.1122	-0.025793	0.2066	0.0032065	-5.9856e-05	-7.6512e-05
0.0090052	-1.3983	0.0089987	1.1135	-0.025802	0.2059	0.0033482	-5.9856e-05	-7.6512e-05
0.0096365	-1.416	0.0096298	1.1246	-0.025967	0.20704	0.0035052	-5.9856e-05	-7.6512e-05
0.010519	-1.4324	0.010512	1.1346	-0.026067	0.20792	0.0036609	-5.9856e-05	-7.6512e-05
0.011353	-1.4482	0.011346	1.1439	-0.026156	0.20863	0.0038217	-0.00024826	-1.9214e-05
0.012147	-1.4627	0.01214	1.152	-0.026221	0.20906	0.0039887	-0.00024826	-1.9214e-05
0.012965	-1.4759	0.012958	1.159	-0.026254	0.20924	0.0041565	-0.00024826	-1.9214e-05
0.013911	-1.4884	0.013904	1.1653	-0.026253	0.20926	0.0043244	-0.00024826	-1.9214e-05
0.014162	-1.4865	0.014154	1.1597	-0.026054	0.20695	0.00449	-0.00024826	-1.9214e-05
0.014942	-1.4968	0.014934	1.1639	-0.026024	0.20649	0.0046697	-0.00024826	-1.9214e-05
0.015969	-1.5059	0.015961	1.167	-0.02593	0.20575	0.0048496	-0.00024826	-1.9214e-05
0.016944	-1.5142	0.016936	1.1694	-0.025825	0.20487	0.0050319	-0.00024826	-1.9214e-05
0.017919	-1.5215	0.017911	1.1707	-0.025694	0.20372	0.0052212	-0.00024826	-1.9214e-05
0.018923	-1.528	0.018915	1.1714	-0.025542	0.20243	0.0054112	-0.00024826	-1.9214e-05
0.019955	-1.5331	0.019946	1.1707	-0.025351	0.2008	0.0056076	-0.00024826	-1.9214e-05
0.021016	-1.5375	0.021007	1.1693	-0.025142	0.19905	0.0058049	-0.00024826	-1.9214e-05
0.021467	-1.5282	0.021458	1.1562	-0.024721	0.19481	0.0060196	-0.00024826	-1.9214e-05
0.022566	-1.5303	0.022556	1.1528	-0.024455	0.19259	0.0062219	-0.00024826	-1.9214e-05
0.023828	-1.5315	0.023819	1.1485	-0.024143	0.19017	0.0064221	-0.00024826	-1.9214e-05
0.025033	-1.5316	0.025024	1.1433	-0.023816	0.18754	0.0066265	-0.00024826	-1.9214e-05
0.026219	-1.5309	0.026209	1.1372	-0.023471	0.18473	0.0068341	-0.00024826	-1.9214e-05
0.02743	-1.5289	0.02742	1.1302	-0.023097	0.1817	0.0070428	-0.00024826	-1.9214e-05
0.028667	-1.5261	0.028657	1.1223	-0.022699	0.17849	0.0072512	-0.00024826	-1.9214e-05
0.029925	-1.5223	0.029916	1.1135	-0.022275	0.17508	0.0074635	-0.00024826	-1.9214e-05
